ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,action_gps_tracking,action_screenshots,action_create_custom_field,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,,,Texas,0,1,2,1,0,25.974,Yes
16,0,0,1053,18,0,2,0,0,0,0,0,0,0,0,1,1,,France,312,12,11,16,0,1442.35,No
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,Puerto Rico,0,5,5,1,0,64.935,No
6,0,0,15,4,1,0,0,0,1,0,0,0,0,18,1,1,,South Africa,156,11,6,6,0,467.532,No
1,0,0,11,0,1,0,0,0,0,0,0,0,0,8,,,,Texas,151,7,8,1,0,73.099,No
7,2,0,6,249,0,0,0,0,0,12,0,0,0,0,,,,New Jersey,230,8,8,7,0,558.116,No
1,0,0,11,0,1,0,0,0,0,0,0,0,0,19,2,,3,Brazil,0,0,2,1,0,12.987,Yes
1,0,0,9,0,0,0,1,0,2,0,0,0,1,0,,,4,Belgium,9,1,1,1,0,12.987,No
2,0,0,1,6,0,4,0,0,0,0,0,0,7,0,,,,California,226,9,14,2,0,190.125,No
6,0,0,106,104,0,49,1,0,3,3,0,0,0,13,,,,Belgium,20,1,17,6,0,688.35,No
11,0,0,727,15,0,0,0,0,0,0,2,0,0,9,,,,Barbados,92,3,10,11,0,745.563,No
19,0,2,23,42,0,627,1,4,1,0,0,0,1,1,,,,Germany,26,8,7,21,0,1909.089,No
1,0,0,7,4,0,0,1,0,2,2,2,0,0,10,1,1,,Canada,7,8,8,1,0,144.898,No
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,California,0,0,2,1,0,12.987,Yes
1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,,,Pennsylvania,215,8,2,1,0,25.974,Yes
2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,Canada,0,0,1,2,0,25.974,No
16,0,0,9,0,5,0,1,0,0,0,0,0,0,0,1,1,,Australia,37,1,2,16,0,194.402,No
3,0,0,1,20,0,10,0,0,0,0,0,0,0,0,1,1,,California,273,9,11,3,0,346.086,No
1,0,0,2,0,0,0,0,0,54,0,0,0,0,0,,,,California,80,3,9,1,0,71.331,Yes
7,1,0,124,61,0,86,0,0,0,0,0,0,375,172,,,,Illinois,304,11,11,7,0,577.031,No
1,0,0,9,6,0,0,0,0,0,0,0,0,0,8,,,,Mexico,43,1,1,1,0,12.987,Yes
4,0,0,14,2,0,3,0,0,3,0,0,0,0,0,,1,,Florida,2,1,2,4,0,77.922,No
1,0,0,2,0,0,1,0,0,2,0,0,1,0,3,,,,South Africa,11,3,3,1,0,38.961,No
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,France,0,1,2,1,0,25.974,Yes
10,6,0,43,61,2,9,0,0,0,2,2,0,0,35,,1,,South Africa,278,9,13,11,0,1332.734,No
12,0,4,72,32,0,65,0,0,0,3,1,0,26,90,,,6,Albania,188,6,10,16,0,792.883,No
1,0,0,1,0,0,0,0,0,2,0,0,0,3,0,,1,,Canada,1,0,1,1,0,12.987,Yes
1,0,0,4,0,0,0,0,0,0,0,2,0,0,2,,,,California,0,1,2,1,0,25.974,Yes
