ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,action_gps_tracking,action_screenshots,action_create_custom_field,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
2,1,1,3,16,0,0,1,0,0,0,0,0,0,0,,1,,Jamaica,2,5,6,4,0,311.688,Yes
10,11,1,8,143,0,0,1,1,102,21,3,0,0,14,2,1,1,Brazil,36,5,5,17,0,1103.895,Yes
2,0,0,23,0,0,12,0,0,0,2,0,0,2,5,,,,Germany,275,13,3,2,0,77.922,No
6,0,0,20,11,0,0,0,0,0,0,0,0,0,0,,,,Delaware,22,5,6,6,0,467.532,Yes
1,0,0,0,0,0,0,1,0,44,0,0,0,0,0,1,1,,Connecticut,0,12,12,1,0,155.844,No
1,0,0,22,1,0,0,1,0,75,0,0,0,70,2,,,,South Africa,52,12,13,1,0,154.83,No
17,1,0,847,40,0,0,0,0,43,0,0,0,580,0,,,6,California,245,8,17,18,0,2322.671,No
3,29,0,3,48,0,0,1,0,0,0,0,0,0,0,,,10,District of Columbia,162,5,17,19,0,4567.16,No
1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,0,0,7,6,0,389.597,Yes
7,0,1,24,2,0,11,1,0,0,0,0,0,0,0,,2,,Georgia,55,12,10,8,0,1038.96,No
5,0,0,8,48,0,0,0,0,0,0,1,0,0,0,1,1,,California,39,1,12,5,0,390.988,Yes
3,0,0,29,8,1,20,0,0,0,0,0,0,0,0,,,,Australia,321,10,3,3,0,77.532,No
3,0,0,33,12,0,8,1,0,2,0,0,0,0,0,8,2,,California,305,10,12,3,0,309.92,No
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Canada,20,4,5,5,0,324.675,Yes
1,1,0,15,0,0,0,0,0,0,0,2,0,0,0,,,,Ireland,0,0,6,1,0,88.959,Yes
1,0,0,42,0,0,0,1,0,0,24,2,0,0,0,1,1,4,Australia,29,4,11,1,0,765.674,Yes
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,320,12,12,4,0,744.367,No
6,0,0,20,25,0,0,0,0,0,0,0,0,18,34,,,,Florida,273,9,15,7,0,829.166,No
8,3,0,152,2,1,4,0,0,0,0,2,0,0,0,,1,,Canada,383,12,11,9,0,1142.856,No
1,0,0,2,14,0,0,0,0,0,0,0,0,0,0,1,2,,Oregon,4,11,12,1,0,155.844,No
1,0,0,41,9,0,0,0,0,0,0,0,0,0,9,,2,,Switzerland,26,12,10,1,0,129.87,Yes
23,2,3,432,120,2,103,0,0,22,0,0,0,8,6,,,,Lebanon,363,12,5,26,0,1094.977,No
7,2,0,32,73,0,0,1,0,70,0,0,0,0,0,1,2,,California,15,12,15,7,0,1148.576,No
7,1,0,24,44,0,0,0,0,0,1,0,0,1,0,1,,2,Arizona,321,12,14,7,0,875.368,No
8,1,0,30,181,0,97,0,2,1,11,1,0,0,1,3,1,61,Romania,27,1,12,8,0,1159.366,No
6,1,0,109,119,0,39,0,0,9,0,0,0,0,0,2,2,,Austria,0,0,15,6,0,822.991,No
1,7,0,15,1,0,0,1,0,0,3,0,0,0,0,1,1,,Serbia,46,8,8,1,0,831.168,Yes
2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,1,,French Polynesia,312,12,2,2,0,51.948,No
3,2,0,23,100,1,0,0,0,0,4,1,0,0,3,1,1,,Brazil,36,1,13,4,0,557.167,No
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,Virginia,60,10,9,1,0,116.883,Yes
9,2,0,75,52,0,0,0,0,0,0,0,0,0,2,,,,Kentucky,223,7,15,9,0,610.727,No
1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,,South Africa,328,11,1,1,0,12.987,No
3,0,0,4,0,0,0,0,0,0,1,0,0,0,10,,,4,California,11,4,6,3,0,139.425,Yes
57,0,0,52,964,0,23,1,8,3,18,0,0,59,57,,2,6,Germany,233,7,20,57,0,5122.468,No
3,0,0,96,97,0,0,1,1,0,0,0,0,0,35,,,,Australia,46,12,13,3,0,465.257,No
1,0,0,67,87,0,31,0,0,0,0,0,0,0,0,,,,Colorado,53,13,10,1,0,129.87,No
6,0,0,11,13,0,0,0,0,0,3,0,0,0,0,2,2,,Brazil,178,12,6,6,0,467.532,No
1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,1,2,Florida,29,5,5,1,0,64.935,Yes
5,2,1,28,17,1,0,0,0,1,2,0,0,0,9,,1,1,China,128,4,9,6,0,166.946,Yes
1,0,0,20,27,0,0,1,0,0,0,0,0,0,7,,,,South Africa,100,12,10,1,0,114.725,No
3,1,0,2,118,0,43,0,0,0,0,0,0,0,1,,,,Australia,181,12,13,4,0,469.547,No
1,0,0,0,0,0,0,0,0,10,0,0,0,15,0,,,,Arizona,0,12,12,1,0,155.844,No
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,Colorado,48,9,9,1,0,116.883,Yes
1,0,0,5,1,0,0,0,0,21,0,0,0,0,0,,,,Australia,84,3,11,1,0,108.693,Yes
5,0,0,101,79,0,113,0,0,2,0,0,0,2,0,1,2,106,United Kingdom,43,1,15,5,0,680.511,No
4,0,1,8,0,0,0,0,0,0,7,0,0,0,12,1,1,,Alaska,11,0,8,5,0,470.08,Yes
4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,1,,Argentina,6,0,15,4,0,547.508,No
4,0,0,6,14,0,0,1,0,0,0,0,0,0,0,2,,,Ohio,350,12,12,4,0,290.992,No
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,California,8,5,6,1,0,77.922,Yes
1,4,0,20,67,0,1,0,0,3,21,0,0,0,46,,,,Canada,234,8,8,2,0,229.489,No
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,Australia,28,6,6,4,0,311.688,Yes
4,0,0,28,251,0,22,0,0,1,0,1,0,8,30,,2,,Norway,132,12,14,4,0,575.614,No
1,0,0,8,0,0,0,0,0,10,0,0,0,12,3,,,,Georgia,200,12,5,1,0,64.935,No
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Canada,124,12,3,1,0,38.961,No
4,2,0,31,16,1,0,0,3,10,0,0,0,0,6,,,5,Australia,343,11,1,4,0,51.948,No
9,0,0,63,415,0,1,1,0,0,17,3,1,0,0,3,3,,Canada,293,10,16,9,0,986.96,No
1,0,0,25,6,0,0,0,0,0,0,0,0,0,6,1,1,,New Zealand,16,5,5,1,0,64.935,Yes
54,0,0,234,126,3,0,0,11,13,0,0,0,67,128,,2,14,Argentina,339,12,18,54,0,6455.852,No
13,12,0,78,158,8,71,0,0,0,7,0,0,0,12,,,,Canada,315,10,19,13,0,2632.643,No
1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,New York,288,9,1,1,0,12.987,Yes
1,0,0,6,4,0,0,0,0,4,0,0,0,27,1,1,1,,Texas,8,9,10,1,0,129.87,Yes
1,0,0,89,0,0,0,0,0,3,0,0,0,0,49,,,,Oregon,0,0,15,1,0,183.222,Yes
1,0,0,7,0,0,0,0,0,2,0,0,0,0,9,,2,,Florida,48,7,6,1,0,77.922,Yes
1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,,,,Australia,196,11,5,1,0,64.935,No
1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,,,,Australia,63,2,4,1,0,38.337,Yes
9,0,1,7,0,3,0,1,0,0,3,1,0,0,0,2,3,,California,51,12,12,12,0,1695.226,No
4,1,0,27,9,0,1,0,0,0,0,1,0,0,0,,,,Austria,344,12,0,4,0,0,No
54,0,0,989,1740,0,0,0,101,1,7,0,0,0,312,2,2,16,,245,9,11,55,0,4613.973,No
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,Austria,176,6,1,1,0,12.987,Yes
1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,,,,Louisiana,45,8,11,1,0,119.028,Yes
5,0,0,88,8,0,16,1,0,0,0,0,0,0,149,,,,Australia,225,9,3,5,0,194.805,Yes
21,0,0,23,53,1,1,0,0,3,0,0,0,0,0,,1,,,114,12,13,30,0,4230.915,No
3,2,0,49,57,0,0,1,0,0,0,0,0,0,0,1,2,,Brazil,15,10,12,3,0,440.7,Yes
0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,2,1,,Philippines,31,3,9,4,0,318.825,Yes
1,9,0,1,1,0,0,0,0,21,0,3,0,146,2,,,,,323,12,13,1,0,1678.274,No
10,0,0,78,17,0,21,0,0,0,0,11,2,0,0,,,,Arizona,223,10,12,10,0,535.717,No
19,18,0,137,1431,1,15,0,0,3,0,0,1,533,98,2,,4,Florida,15,12,11,33,0,4714.281,No
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,337,11,2,1,0,12.974,No
8,0,0,5,25,15,0,0,2,0,0,0,0,0,0,2,2,,Turkey,352,12,11,8,0,710.32,No
8,5,0,3,13,1,0,0,0,79,0,0,0,30,2,1,,8,Norway,52,2,16,10,0,1268.137,No
206,39,3,345,943,1,68,0,15,0,0,1,11,4,54,,,7,,214,7,37,215,0,27235.156,No
2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,Arizona,13,8,8,2,0,207.792,Yes
1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,,,,Connecticut,262,9,1,1,0,12.987,Yes
12,1,0,4,0,9,0,1,0,0,0,0,0,0,0,3,1,,Belgium,215,10,6,13,0,839.969,No
1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,1,,California,188,9,4,1,0,51.948,Yes
1,0,0,58,122,0,0,1,0,0,0,0,0,0,2,,1,,New Zealand,16,12,11,1,0,142.857,No
1,0,0,5,10,1,0,0,0,3,10,0,0,0,70,2,2,2,United Kingdom,29,1,7,1,0,77.922,Yes
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Brazil,166,6,1,1,0,12.987,Yes
2,0,0,23,13,0,0,0,0,35,0,1,1,0,27,,,,South Africa,49,8,11,2,0,159.653,Yes
20,2,0,52,297,0,28,0,3,0,0,0,0,0,144,,,1,California,0,0,13,20,0,3116.789,No
4,0,0,5,0,0,0,0,0,4,8,2,1,0,20,,,3,Maryland,1,0,12,4,0,563.732,No
1,0,0,34,64,0,0,0,0,0,0,0,0,40,58,1,,7,District of Columbia,147,5,11,1,0,454.61,Yes
2,0,0,381,1,0,0,0,0,0,0,0,0,0,0,,,,Illinois,209,9,3,2,0,77.922,Yes
2,0,0,3,0,0,0,0,0,69,2,0,0,39,9,,,,Hawaii,22,11,11,2,0,142.857,No
2,3,0,18,22,0,0,0,0,0,1,0,0,0,0,2,,,District of Columbia,1,12,9,2,0,196.144,Yes
6,0,0,42,0,0,0,0,0,0,0,0,0,0,0,,1,,California,17,12,11,6,0,857.142,No
32,5,0,248,0,0,0,0,0,0,0,0,0,0,177,1,1,,Hungary,353,12,17,32,0,2887.157,No
11,0,0,209,30,1,358,0,1,10,8,0,1,0,31,,,13,Malta,61,8,14,14,0,1838.421,No
8,1,0,191,19,0,113,0,0,7,0,0,1,125,138,1,1,,Latvia,329,11,10,8,0,1212.471,No
2,0,0,3,2,0,0,0,0,3,0,0,0,0,0,,,,Georgia,226,12,4,2,0,103.896,No
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,District of Columbia,6,12,12,2,0,401.323,No
1,0,0,10,1,0,0,0,0,15,0,0,0,0,1,,,,Canada,28,11,11,1,0,142.857,No
5,0,0,45,40,0,89,1,0,0,0,0,0,8,0,3,2,,California,230,10,14,5,0,408.031,No
2,0,0,3,4,2,10,0,0,0,0,0,0,0,0,,,2,Florida,225,12,4,3,0,155.844,No
1,0,0,4,28,0,0,0,0,23,0,0,0,0,4,,,,Michigan,50,11,9,1,0,116.883,No
10,0,0,208,19,0,0,0,2,3,0,8,0,39,0,,1,1,Canada,56,2,17,11,0,1472.926,No
21,0,0,197,560,0,0,0,0,5,0,0,0,0,0,,,,California,251,9,20,21,0,1628.64,Yes
1,0,0,4,0,0,27,1,0,61,0,1,0,21,3,,,,,6,12,11,1,0,142.857,No
21,3,0,818,86,0,0,1,0,1,3,0,0,38,32,,1,,,363,12,6,22,0,1558.44,No
10,3,0,100,125,0,17,1,0,2,0,0,1,69,126,1,4,12,,158,6,13,12,0,1347.684,No
28,9,0,25,171,0,195,0,17,0,94,9,0,0,0,,,,Bosnia & Herzegovina,298,10,26,35,0,3597.334,No
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,Illinois,0,3,4,1,0,51.948,Yes
1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,,Oregon,0,12,11,1,0,142.857,No
1,0,0,14,15,0,0,1,0,136,0,0,0,94,0,,,,Colorado,39,6,11,1,0,113.23,No
4,0,0,6,212,0,0,0,0,0,4,0,0,0,0,1,1,2,California,243,12,8,5,0,406.38,No
1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,,,,Guatemala,0,0,6,1,0,64.935,Yes
6,0,0,41,42,1,91,1,0,1,12,5,0,4,105,2,2,,District of Columbia,254,9,13,5,0,481.156,No
7,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,3,,Australia,46,8,9,7,0,726.895,Yes
6,0,0,49,61,0,332,1,0,5,0,2,0,20,76,3,3,6,Germany,168,12,10,7,0,727.311,No
10,0,0,364,12,1,1,0,0,2,10,0,0,3,58,1,1,4,Indonesia,31,12,20,10,0,1552.746,No
1,0,0,11,21,0,0,0,0,0,0,0,0,0,0,,,5,Czechia,5,12,11,1,0,142.857,No
2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,,,,Russia,0,3,4,2,0,103.896,Yes
2,5,0,6,0,0,0,1,0,0,6,1,0,0,11,2,5,,India,44,11,9,7,0,818.181,No
32,0,0,340,18,1,51,0,0,0,0,1,0,0,829,,,,France,263,12,3,32,0,1246.752,No
7,0,0,47,0,1,0,1,0,1,0,0,0,0,4,1,2,,Indonesia,24,12,11,7,0,999.999,No
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Switzerland,1,11,11,1,0,142.857,No
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,Philippines,61,2,5,3,0,218.01,Yes
3,1,0,17,1,0,0,0,0,49,0,0,0,0,42,,,,Germany,0,0,12,4,0,564.525,No
2,0,0,3,11,0,0,0,0,0,2,0,1,0,0,2,3,,Florida,30,11,7,2,0,136.383,No
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,30,6,8,2,0,181.818,Yes
9,1,0,190,1,0,0,0,0,0,0,0,0,0,0,1,,1,Australia,30,12,14,10,0,1416.753,No
15,9,1,5,0,0,0,0,0,0,1,1,0,0,2,,,,California,247,9,18,19,0,1862.627,No
10,1,1,55,30,2,19,1,0,0,0,1,0,0,90,,,,Arizona,30,12,10,14,0,1818.18,No
2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,,,Canada,77,5,4,2,0,64.896,Yes
1,0,0,3,0,0,0,0,0,0,0,0,0,0,6,,,,Brazil,7,4,5,1,0,64.935,Yes
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,Missouri,0,12,11,1,0,142.857,No
2,5,0,23,4,1,0,1,0,5,2,1,0,0,19,3,2,,Australia,87,11,8,2,0,207.792,No
5,0,0,173,18,0,209,0,0,0,0,2,0,9,270,,1,3,Croatia,124,4,12,5,0,923.78,No
1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,,1,,Israel,60,2,2,1,0,25.974,Yes
8,2,0,577,43,0,106,1,1,0,0,0,0,0,28,,,5,Austria,250,11,3,8,0,311.688,No
2,0,0,41,15,0,0,0,0,0,6,0,0,0,0,,4,,Hungary,51,3,5,2,0,103.883,Yes
2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,,,New York,67,2,10,2,0,233.753,No
5,0,0,46,48,10,0,1,0,181,8,0,0,0,0,1,2,,California,201,6,14,5,0,1013.012,Yes
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Netherlands,8,0,10,1,0,1011.491,Yes
10,2,0,19,65,1,0,0,0,1,0,0,0,0,22,,,,Alabama,27,0,13,14,0,1700.556,No
1,0,0,23,7,0,8,0,0,0,0,0,0,0,7,,,,Canada,16,11,11,1,0,142.857,No
10,0,0,44,130,0,5,1,0,0,0,0,0,0,16,,,2,Austria,46,1,17,10,0,672.867,Yes
1,0,0,10,112,1,0,0,0,17,0,0,1,0,3,,,,Colorado,161,11,12,1,0,127.153,No
1,0,0,12,63,0,3,0,0,0,0,0,0,0,18,1,1,,United Kingdom,75,11,8,1,0,103.896,No
1,0,0,3,2,0,0,0,0,0,0,0,0,0,4,,,,Czechia,216,7,11,9,0,944.489,No
19,8,0,43,12,2,35,1,0,1,0,3,0,6,16,,1,,Arizona,333,11,12,19,0,1349.933,No
22,4,0,43,7,0,18,0,0,0,7,30,0,0,112,,,,Arkansas,214,7,21,22,0,2101.567,No
1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,30,6,8,1,0,363.623,Yes
4,1,0,32,169,0,24,1,0,0,0,0,0,0,30,1,2,,Andorra,255,8,1,4,0,51.948,Yes
7,1,0,40,66,0,0,1,0,2,7,1,0,0,81,,2,,Brazil,98,7,12,7,0,1072.5,No
3,0,0,18,0,0,0,0,0,0,3,0,0,0,0,1,1,,Arizona,21,4,5,3,0,194.805,Yes
10,0,0,17,23,0,69,0,0,0,0,0,0,0,0,1,,,Colorado,245,11,13,10,0,768.456,No
6,0,0,29,13,0,1,0,1,5,0,2,0,0,157,,,1,Spain,33,11,12,6,0,845.39,No
1,0,0,13,0,0,0,0,0,23,0,0,0,2,0,1,1,,Alabama,26,12,10,1,0,129.87,No
1,0,0,2,4,0,0,0,0,21,0,0,0,24,0,,,,California,0,9,10,1,0,129.87,Yes
1,0,0,1,3,1,0,0,0,1,0,0,0,0,11,,,1,New Jersey,13,3,4,1,0,51.948,Yes
4,3,0,0,0,0,90,0,0,0,0,0,0,0,0,,,,United Kingdom,8,11,11,4,0,571.428,No
1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,,California,307,11,7,1,0,84.409,Yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Canada,1,10,11,1,0,142.857,No
3,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,0,0,12,3,0,428.558,No
1,0,0,7,1,0,0,0,0,29,0,0,3,0,0,,,,California,0,11,6,1,0,61.035,Yes
1,0,0,15,15,1,0,0,0,0,0,0,0,0,6,2,,1,United Kingdom,1,11,11,1,0,142.857,No
17,1,0,17,11,0,0,1,0,0,0,0,0,33,9,2,4,,Australia,149,8,12,17,0,2060.461,No
3,0,1,88,42,1,114,1,0,2,0,0,0,35,22,2,2,,Canada,226,11,4,4,0,155.844,No
1,0,0,61,14,0,0,1,0,0,0,0,0,0,34,,,,United Kingdom,5,11,11,1,0,142.857,No
8,3,0,13,4,2,831,1,0,0,12,1,0,6,0,,,2,Iowa,302,10,12,8,0,1310.634,No
1,1,0,23,0,0,0,1,0,0,0,1,0,0,2,1,2,8,Singapore,99,3,1,1,0,12.974,Yes
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Czechia,72,11,9,1,0,116.883,No
1,0,0,12,1,0,0,0,0,34,0,0,0,1,27,,,,Louisiana,52,10,10,1,0,125.97,No
1,41,0,13,12,0,0,0,0,0,11,0,0,0,0,1,,,Canada,50,1,5,41,0,1538.589,Yes
2,0,0,4,0,0,0,0,0,0,0,0,0,0,15,,1,,Arizona,58,11,9,2,0,233.766,No
3,4,0,96,10,0,7,0,0,0,0,0,0,0,12,,,,California,304,10,17,3,0,718.068,No
3,0,0,2,165,0,0,0,0,0,0,0,0,0,0,,,4,South Africa,61,11,12,3,0,381.654,No
2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,1,,,Texas,2,7,8,2,0,207.792,Yes
6,0,0,28,0,0,0,1,0,0,0,0,1,0,1,1,1,,Australia,232,10,3,6,0,233.766,No
1,0,0,3,4,0,0,0,0,17,0,0,0,0,0,,,,California,232,11,3,1,0,38.961,No
6,0,0,12,33,0,0,1,1,0,0,0,0,0,0,1,1,6,California,81,11,11,6,0,680.303,No
18,3,0,31,224,3,138,0,120,41,55,4,0,0,103,2,1,9,Arkansas,47,2,13,34,0,4028.544,No
1,0,0,7,2,1,0,0,0,7,0,0,0,0,0,1,1,1,France,4,11,11,1,0,142.857,No
7,1,0,44,15,1,0,1,0,0,0,0,0,0,20,2,3,,Serbia,85,7,9,7,0,563.459,No
41,1,1,132,109,6,0,0,3,22,0,3,0,10,227,,,35,Belgium,330,11,16,42,0,1043.796,No
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Delaware,147,5,1,4,0,51.948,Yes
1,0,0,83,36,0,2,0,0,3,0,0,0,0,0,,,,Canada,83,12,8,1,0,103.896,No
1,0,0,22,46,0,0,0,0,2,0,0,0,0,0,,1,,California,228,11,3,1,0,38.961,No
5,0,0,29,22,0,0,1,0,4,0,0,1,85,2,,,5,Illinois,6,5,10,5,0,509.522,Yes
12,5,0,65,3,0,0,0,0,1,0,0,0,0,14,,,,,214,11,19,13,0,1582.1,No
1,0,0,18,8,0,0,1,0,5,0,0,0,1,0,2,1,,Belarus,5,7,8,2,0,311.688,Yes
4,2,0,2,24,1,3,1,16,3,0,0,7,0,5,2,2,,Poland,213,7,7,4,0,291.122,No
1,0,0,20,9,0,0,0,0,7,0,0,1,0,13,,,,United Kingdom,5,11,11,1,0,142.857,No
12,0,0,17,1,1,0,0,0,0,0,1,0,0,0,1,2,4,Netherlands,2,0,16,12,0,537.719,Yes
5,73,0,51,105,1,0,0,1,0,0,0,0,0,0,1,1,2,Canada,181,7,8,74,0,6154.07,Yes
7,0,0,197,11,0,697,0,0,0,0,0,0,96,184,2,2,,Ireland,17,0,14,7,0,964.99,No
13,0,0,36,251,0,293,0,1,1,0,0,0,0,0,,,6,Arizona,315,10,17,13,0,850.59,No
2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,,,6,Florida,0,9,10,2,0,259.74,Yes
1,0,0,84,0,0,1,0,0,0,0,0,0,0,3,1,,,Luxembourg,179,7,2,1,0,25.974,Yes
6,0,0,20,93,3,0,0,1,10,0,0,0,0,0,,,,California,40,1,13,6,0,725.634,No
2,0,0,21,0,0,0,1,0,0,0,0,0,10,0,,,,Missouri,9,5,6,2,0,155.844,Yes
15,0,0,18,51,0,0,0,0,0,0,0,0,0,0,,1,,Egypt,181,7,9,15,0,1079.195,No
4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,11,0,4,4,0,160.992,Yes
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,Illinois,0,5,6,1,0,77.922,Yes
3,0,0,4,10,0,0,0,0,7,0,0,0,0,0,,,,Florida,67,4,6,3,0,133.848,Yes
6,0,0,53,0,0,0,0,5,0,2,1,0,0,0,,1,2,United Kingdom,7,11,11,8,0,1142.856,No
1,0,0,3,0,0,0,0,0,1,0,0,0,0,3,,1,2,France,0,0,5,1,0,38.948,Yes
15,0,0,26,5,1,58,1,18,27,21,2,0,77,52,1,1,12,Portugal,9,8,12,15,0,2178.865,No
11,1,0,2,0,1,0,0,0,0,2,0,0,0,0,2,2,,Illinois,8,0,8,11,0,1088.399,Yes
12,2,1,24,21,2,0,1,9,29,4,2,0,0,29,2,2,,Florida,294,11,15,14,0,1973.153,No
10,0,0,17,15,0,0,0,0,0,0,0,0,0,0,,1,,California,30,1,10,10,0,834.171,Yes
2,1,1,4,0,0,0,1,0,0,0,0,0,0,0,2,1,,,49,11,9,3,0,350.649,No
3,4,0,5,0,0,0,0,0,0,3,0,0,0,3,1,2,,Georgia,181,6,3,4,0,87.607,Yes
3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,,,,Australia,16,1,8,3,0,175.253,Yes
1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1,,Mexico,0,5,6,1,0,77.922,Yes
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2,,United Kingdom,26,1,3,2,0,41.639,Yes
1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,,Portugal,0,7,8,1,0,103.896,Yes
1,0,0,6,12,0,0,0,0,0,0,0,0,0,0,,,,California,6,0,4,1,0,35.061,Yes
1,1,0,7,0,0,0,1,0,42,0,0,0,5,16,,,1,Minnesota,347,11,10,1,0,259.74,No
5,5,0,3,54,0,77,0,0,0,0,3,0,0,0,,,2,Canada,126,11,11,5,0,1321.827,No
15,1,0,32,51,0,37,1,29,0,0,3,0,0,36,,1,,California,201,7,13,16,0,1852.838,No
1,0,0,26,61,0,0,1,0,83,0,0,0,0,17,1,1,,Brazil,111,11,7,1,0,90.909,No
3,0,0,154,2,0,189,0,0,223,0,0,0,140,82,,,,Germany,5,11,11,3,0,428.571,No
1,0,0,8,12,0,0,0,0,28,0,0,0,1,2,,,,Maryland,82,11,6,1,0,77.922,No
2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,2,2,,Philippines,98,3,4,2,0,94.458,Yes
49,4,0,32,14,2,422,0,1,0,4,4,0,0,0,,,9,Canada,45,11,9,50,0,5844.15,No
1,0,0,5,2,1,0,0,0,1,0,0,0,0,1,,,,United Kingdom,72,11,8,1,0,103.896,No
1,0,0,26,11,0,0,1,0,0,0,0,0,0,7,1,1,,Belgium,149,7,6,1,0,66.222,Yes
4,2,0,0,0,0,9,0,0,0,0,0,0,33,0,,,,Iowa,94,11,8,4,0,311.688,No
4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,,,Kentucky,22,6,6,4,0,311.688,Yes
10,0,0,34,0,0,0,0,0,362,0,1,0,84,1,2,,,India,73,5,3,11,0,428.571,Yes
1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,,,Colorado,164,11,5,1,0,64.935,No
2,0,0,4,18,0,0,0,0,0,0,0,0,0,0,,1,,South Africa,135,5,1,2,0,25.974,Yes
8,0,0,49,30,0,0,1,0,10,0,0,0,0,30,,,2,Denmark,36,2,2,8,0,207.792,Yes
1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,,,1,California,0,11,11,1,0,142.857,No
5,0,0,18,11,1,0,0,0,0,0,0,1,0,4,2,2,7,Canada,148,5,9,5,0,487.877,No
4,0,0,15,6,1,0,1,0,0,2,0,0,0,6,,2,,Malaysia,211,11,5,5,0,305.175,No
2,0,0,15,5,0,0,0,0,0,0,0,0,0,14,,,,Australia,61,11,13,2,0,266.643,No
6,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,,8,Australia,8,9,10,6,0,779.22,No
1,0,0,14,0,0,0,0,0,0,0,0,0,0,2,,1,2,United Kingdom,182,6,4,1,0,77.909,Yes
1,0,0,33,0,0,13,0,0,115,0,0,0,15,0,,,,New York,69,2,12,1,0,134.147,No
1,0,0,11,46,1,0,0,0,0,0,0,0,0,0,,,5,Canada,64,11,8,1,0,103.896,No
2,0,0,0,3,0,0,1,0,24,2,0,0,0,7,,,,South Africa,130,10,6,2,0,155.844,No
4,0,0,1,0,1,0,0,0,0,0,0,0,0,5,,,,Philippines,149,5,6,4,0,215.553,Yes
5,1,0,107,5,0,0,0,0,0,0,0,0,0,0,,,,Australia,294,11,2,5,0,61.542,No
6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,Alabama,13,11,10,1,5,259.22,No
1,0,0,0,11,0,0,0,0,17,0,0,0,3,0,,,,California,11,6,6,1,0,77.922,Yes
